Date,EmployeeID,Category,Amount,Merchant,Description
2023-11-11,EMP095,Meals,3331.84,The Night Club,Personal Weekend Dinner
2023-11-11,EMP073,Meals,178.36,The Night Club,Personal Weekend Dinner
2023-11-11,EMP119,Meals,1413.11,The Night Club,Personal Weekend Dinner
2023-11-11,EMP042,Meals,829.19,The Night Club,Personal Weekend Dinner
2023-11-11,EMP084,Meals,441.45,The Night Club,Personal Weekend Dinner
2023-11-11,EMP145,Meals,526.88,The Night Club,Personal Weekend Dinner
2023-11-11,EMP077,Meals,329.38,The Night Club,Personal Weekend Dinner
2023-11-11,EMP115,Meals,2844.12,The Night Club,Personal Weekend Dinner
2023-11-11,EMP143,Meals,496.43,The Night Club,Personal Weekend Dinner
2023-11-11,EMP012,Meals,1896.25,The Night Club,Personal Weekend Dinner
2023-11-11,EMP023,Meals,271.11,The Night Club,Personal Weekend Dinner
2023-11-11,EMP144,Meals,3079.0,The Night Club,Personal Weekend Dinner
2023-11-11,EMP006,Meals,773.72,The Night Club,Personal Weekend Dinner
2023-11-11,EMP069,Meals,188.34,The Night Club,Personal Weekend Dinner
2023-11-11,EMP144,Meals,3674.46,The Night Club,Personal Weekend Dinner
2023-11-11,EMP046,Meals,451.58,The Night Club,Personal Weekend Dinner
2023-11-11,EMP016,Meals,552.29,The Night Club,Personal Weekend Dinner
2023-11-11,EMP036,Meals,121.71,The Night Club,Personal Weekend Dinner
2023-11-11,EMP026,Meals,876.67,The Night Club,Personal Weekend Dinner
2023-11-11,EMP067,Meals,788.76,The Night Club,Personal Weekend Dinner
2023-11-11,EMP059,Meals,75.66,The Night Club,Personal Weekend Dinner
2023-11-11,EMP041,Meals,141.75,The Night Club,Personal Weekend Dinner
2023-11-11,EMP061,Meals,2293.64,The Night Club,Personal Weekend Dinner
2023-11-11,EMP036,Meals,384.57,The Night Club,Personal Weekend Dinner
2023-11-11,EMP013,Meals,255.44,The Night Club,Personal Weekend Dinner
2023-11-11,EMP119,Meals,3033.11,The Night Club,Personal Weekend Dinner
2023-11-11,EMP094,Meals,700.0,The Night Club,Personal Weekend Dinner
2023-11-11,EMP004,Meals,441.55,The Night Club,Personal Weekend Dinner
2023-11-11,EMP104,Meals,2012.83,The Night Club,Personal Weekend Dinner
2023-11-11,EMP028,Meals,413.84,The Night Club,Personal Weekend Dinner
2023-11-11,EMP141,Meals,303.49,The Night Club,Personal Weekend Dinner
2023-11-11,EMP022,Meals,299.53,The Night Club,Personal Weekend Dinner
2023-11-11,EMP147,Meals,991.84,The Night Club,Personal Weekend Dinner
2023-11-11,EMP149,Meals,1772.33,The Night Club,Personal Weekend Dinner
2023-11-11,EMP024,Meals,1876.57,The Night Club,Personal Weekend Dinner
2023-11-11,EMP059,Meals,391.02,The Night Club,Personal Weekend Dinner
2023-11-11,EMP062,Meals,782.29,The Night Club,Personal Weekend Dinner
2023-11-11,EMP003,Meals,1365.04,The Night Club,Personal Weekend Dinner
2023-11-11,EMP046,Meals,125.7,The Night Club,Personal Weekend Dinner
2023-11-11,EMP095,Meals,3720.15,The Night Club,Personal Weekend Dinner
2023-11-11,EMP010,Meals,138.44,The Night Club,Personal Weekend Dinner
2023-11-11,EMP118,Meals,3387.86,The Night Club,Personal Weekend Dinner
2023-11-11,EMP106,Meals,582.03,The Night Club,Personal Weekend Dinner
2023-11-11,EMP076,Meals,1368.1,The Night Club,Personal Weekend Dinner
2023-11-11,EMP044,Meals,305.86,The Night Club,Personal Weekend Dinner
2023-11-11,EMP090,Meals,2256.49,The Night Club,Personal Weekend Dinner
2023-11-11,EMP134,Meals,399.46,The Night Club,Personal Weekend Dinner
2023-11-11,EMP024,Meals,435.53,The Night Club,Personal Weekend Dinner
2023-11-11,EMP011,Meals,959.06,The Night Club,Personal Weekend Dinner
2023-11-11,EMP109,Meals,4770.54,The Night Club,Personal Weekend Dinner
2023-11-11,EMP086,Meals,958.13,The Night Club,Personal Weekend Dinner
2023-11-11,EMP072,Meals,2652.5,The Night Club,Personal Weekend Dinner
2023-11-11,EMP081,Meals,344.12,The Night Club,Personal Weekend Dinner
2023-11-11,EMP112,Meals,2811.98,The Night Club,Personal Weekend Dinner
2023-11-11,EMP081,Meals,776.98,The Night Club,Personal Weekend Dinner
2023-11-11,EMP082,Meals,4693.08,The Night Club,Personal Weekend Dinner
2023-11-11,EMP115,Meals,2869.66,The Night Club,Personal Weekend Dinner
2023-11-11,EMP103,Meals,2450.97,The Night Club,Personal Weekend Dinner
2023-11-11,EMP078,Meals,2336.97,The Night Club,Personal Weekend Dinner
2023-11-11,EMP060,Meals,4839.16,The Night Club,Personal Weekend Dinner
2023-11-11,EMP024,Meals,3662.18,The Night Club,Personal Weekend Dinner
2023-11-11,EMP112,Meals,379.77,The Night Club,Personal Weekend Dinner
2023-11-11,EMP125,Meals,101.35,The Night Club,Personal Weekend Dinner
2023-11-11,EMP025,Meals,387.05,The Night Club,Personal Weekend Dinner
2023-11-11,EMP135,Meals,990.5,The Night Club,Personal Weekend Dinner
2023-11-11,EMP042,Meals,3614.47,The Night Club,Personal Weekend Dinner
2023-11-11,EMP098,Meals,1732.04,The Night Club,Personal Weekend Dinner
2023-11-11,EMP018,Meals,107.89,The Night Club,Personal Weekend Dinner
2023-11-11,EMP144,Meals,747.05,The Night Club,Personal Weekend Dinner
2023-11-11,EMP105,Meals,2976.69,The Night Club,Personal Weekend Dinner
2023-11-11,EMP074,Meals,4830.3,The Night Club,Personal Weekend Dinner
2023-11-11,EMP143,Meals,309.46,The Night Club,Personal Weekend Dinner
2023-11-11,EMP140,Meals,215.2,The Night Club,Personal Weekend Dinner
2023-11-11,EMP127,Meals,2618.84,The Night Club,Personal Weekend Dinner
2023-11-11,EMP110,Meals,815.92,The Night Club,Personal Weekend Dinner
2023-11-11,EMP131,Meals,976.07,The Night Club,Personal Weekend Dinner
2023-11-11,EMP138,Meals,404.5,The Night Club,Personal Weekend Dinner
2025-11-12,EMP075,Office,554.01,Office Depot,Office expense at Office Depot
2025-07-23,EMP078,IT Hardware,205.54,Dell,IT Hardware expense at Dell
2025-07-18,EMP074,Travel,981.18,Hertz,Travel expense at Hertz
2025-01-09,EMP100,Software,2373.89,AWS,Software expense at AWS
2025-09-23,EMP113,Lodging,2852.39,Holiday Inn,Lodging expense at Holiday Inn
2025-05-26,EMP090,Software,1705.24,Atlassian,Software expense at Atlassian
2025-06-21,EMP149,IT Hardware,2098.54,Newegg,IT Hardware expense at Newegg
2025-07-03,EMP133,Travel,304.69,Hertz,Travel expense at Hertz
2025-01-19,EMP105,Meals,209.07,Chipotle,Meals expense at Chipotle
2025-10-21,EMP130,Lodging,2726.02,Hilton,Lodging expense at Hilton
2025-11-02,EMP066,Lodging,2639.2,Hyatt,Lodging expense at Hyatt
2025-03-05,EMP115,Travel,1249.47,Delta Air,Travel expense at Delta Air
2025-07-18,EMP058,Travel,1414.36,Hertz,Travel expense at Hertz
2025-08-26,EMP095,Meals,80.36,Ruths Chris,Meals expense at Ruths Chris
2024-12-24,EMP135,Travel,538.64,United,Travel expense at United
2025-08-12,EMP112,Software,4877.4,AWS,Software expense at AWS
2025-02-12,EMP101,Lodging,2358.85,Holiday Inn,Lodging expense at Holiday Inn
2025-02-03,EMP010,Software,537.17,Atlassian,Software expense at Atlassian
2025-10-09,EMP089,Meals,37.08,Ruths Chris,Meals expense at Ruths Chris
2025-05-29,EMP129,IT Hardware,1588.88,Newegg,IT Hardware expense at Newegg
2025-01-31,EMP072,IT Hardware,1825.74,CDW,IT Hardware expense at CDW
2025-03-27,EMP138,IT Hardware,141.35,Newegg,IT Hardware expense at Newegg
2025-11-29,EMP094,Travel,833.42,United,Travel expense at United
2025-04-29,EMP079,Lodging,1871.7,Holiday Inn,Lodging expense at Holiday Inn
2025-01-23,EMP070,Meals,59.37,Local Diner,Meals expense at Local Diner
2025-05-24,EMP009,IT Hardware,414.84,BestBuy,IT Hardware expense at BestBuy
2025-10-07,EMP036,Lodging,1626.85,Hyatt,Lodging expense at Hyatt
2025-08-18,EMP003,IT Hardware,501.0,Apple Store,IT Hardware expense at Apple Store
2025-05-22,EMP022,IT Hardware,3085.29,CDW,IT Hardware expense at CDW
2025-10-28,EMP096,Lodging,1063.74,Hilton,Lodging expense at Hilton
2024-12-27,EMP121,IT Hardware,1991.11,Dell,IT Hardware expense at Dell
2025-11-17,EMP145,Software,4601.12,Slack,Software expense at Slack
2025-01-15,EMP030,Office,358.65,Staples,Office expense at Staples
2025-10-04,EMP071,Meals,378.74,Ruths Chris,Meals expense at Ruths Chris
2025-11-03,EMP143,IT Hardware,2637.99,BestBuy,IT Hardware expense at BestBuy
2025-07-08,EMP083,Meals,52.79,Starbucks,Meals expense at Starbucks
2025-10-17,EMP079,Meals,281.07,Ruths Chris,Meals expense at Ruths Chris
2024-12-10,EMP053,Software,143.54,Slack,Software expense at Slack
2025-03-10,EMP012,Office,664.1,Uline,Office expense at Uline
2025-06-07,EMP011,Travel,567.62,Delta Air,Travel expense at Delta Air
2025-03-07,EMP075,Travel,520.4,Hertz,Travel expense at Hertz
2025-08-29,EMP079,Software,2580.05,Atlassian,Software expense at Atlassian
2025-03-14,EMP033,Travel,1296.8,United,Travel expense at United
2025-07-19,EMP113,Lodging,1037.67,Holiday Inn,Lodging expense at Holiday Inn
2025-02-02,EMP028,Software,4110.51,Atlassian,Software expense at Atlassian
2025-07-17,EMP100,Travel,534.83,Amtrak,Travel expense at Amtrak
2025-07-04,EMP073,Lodging,556.05,Hilton,Lodging expense at Hilton
2025-05-02,EMP137,Travel,1378.92,Amtrak,Travel expense at Amtrak
2025-03-06,EMP056,Office,374.61,Uline,Office expense at Uline
2025-11-04,EMP146,Meals,355.15,Chipotle,Meals expense at Chipotle
2025-10-12,EMP147,Software,431.6,Zoom,Software expense at Zoom
2025-09-22,EMP021,Travel,56.02,Uber,Travel expense at Uber
2025-07-21,EMP148,IT Hardware,3171.16,Apple Store,IT Hardware expense at Apple Store
2025-04-14,EMP095,Meals,22.35,Panera,Meals expense at Panera
2025-03-31,EMP139,Software,2046.79,Slack,Software expense at Slack
2025-03-12,EMP090,IT Hardware,1485.4,CDW,IT Hardware expense at CDW
2025-10-16,EMP001,Travel,504.11,Amtrak,Travel expense at Amtrak
2025-01-01,EMP040,Meals,369.74,Ruths Chris,Meals expense at Ruths Chris
2025-01-10,EMP130,Travel,524.23,Amtrak,Travel expense at Amtrak
2025-04-06,EMP010,Travel,1119.19,Delta Air,Travel expense at Delta Air
2024-12-05,EMP096,Software,855.4,Atlassian,Software expense at Atlassian
2025-07-19,EMP082,Meals,308.54,Dominos,Meals expense at Dominos
2025-09-11,EMP147,IT Hardware,3036.96,Apple Store,IT Hardware expense at Apple Store
2025-04-02,EMP065,Travel,308.3,Uber,Travel expense at Uber
2025-03-26,EMP035,Office,305.05,Amazon Biz,Office expense at Amazon Biz
2025-06-27,EMP045,IT Hardware,2521.06,BestBuy,IT Hardware expense at BestBuy
2025-08-27,EMP140,Travel,499.72,Hertz,Travel expense at Hertz
2025-04-03,EMP011,Lodging,2990.79,Hilton,Lodging expense at Hilton
2025-06-17,EMP037,Office,385.58,Amazon Biz,Office expense at Amazon Biz
2025-05-13,EMP039,Lodging,844.79,Airbnb,Lodging expense at Airbnb
2025-04-25,EMP144,Lodging,689.17,Marriott,Lodging expense at Marriott
2025-11-27,EMP119,Travel,147.09,Hertz,Travel expense at Hertz
2025-05-06,EMP086,Lodging,1700.58,Hyatt,Lodging expense at Hyatt
2025-02-15,EMP061,Travel,1064.61,Uber,Travel expense at Uber
2025-02-14,EMP023,Travel,176.4,Delta Air,Travel expense at Delta Air
2024-12-05,EMP148,Travel,1490.51,United,Travel expense at United
2025-11-11,EMP032,Lodging,868.54,Marriott,Lodging expense at Marriott
2025-05-26,EMP095,Lodging,2118.59,Hyatt,Lodging expense at Hyatt
2025-07-23,EMP098,Travel,522.57,Hertz,Travel expense at Hertz
2025-11-29,EMP142,IT Hardware,189.78,Apple Store,IT Hardware expense at Apple Store
2025-06-22,EMP012,Office,343.54,Uline,Office expense at Uline
2025-10-15,EMP060,Software,2089.09,Salesforce,Software expense at Salesforce
2025-06-29,EMP123,Software,4406.24,Zoom,Software expense at Zoom
2025-03-07,EMP106,Meals,237.32,Starbucks,Meals expense at Starbucks
2025-02-05,EMP054,Meals,55.4,Dominos,Meals expense at Dominos
2025-09-21,EMP131,IT Hardware,1769.31,CDW,IT Hardware expense at CDW
2025-11-08,EMP001,Meals,211.34,Dominos,Meals expense at Dominos
2024-12-21,EMP101,Office,210.58,Uline,Office expense at Uline
2025-05-25,EMP149,Office,728.46,Amazon Biz,Office expense at Amazon Biz
2025-04-08,EMP089,Meals,277.84,Local Diner,Meals expense at Local Diner
2025-06-09,EMP113,Lodging,1705.03,Marriott,Lodging expense at Marriott
2025-11-16,EMP142,Meals,312.64,Chipotle,Meals expense at Chipotle
2025-02-16,EMP089,Lodging,1514.98,Marriott,Lodging expense at Marriott
2025-06-07,EMP033,IT Hardware,3386.17,Dell,IT Hardware expense at Dell
2024-12-21,EMP074,Software,4214.19,AWS,Software expense at AWS
2025-08-26,EMP130,Software,3855.52,AWS,Software expense at AWS
2025-11-25,EMP067,Travel,336.6,Hertz,Travel expense at Hertz
2025-01-15,EMP040,Office,394.76,Uline,Office expense at Uline
2025-05-25,EMP025,Meals,384.99,Local Diner,Meals expense at Local Diner
2025-01-31,EMP111,Meals,179.37,Dominos,Meals expense at Dominos
2025-10-01,EMP040,IT Hardware,114.86,CDW,IT Hardware expense at CDW
2025-05-10,EMP086,Office,706.29,Amazon Biz,Office expense at Amazon Biz
2025-08-01,EMP022,Software,978.53,Slack,Software expense at Slack
2025-07-26,EMP094,Office,587.1,Staples,Office expense at Staples
2025-11-28,EMP115,Lodging,1444.35,Marriott,Lodging expense at Marriott
2025-09-05,EMP008,Meals,326.69,Chipotle,Meals expense at Chipotle
2025-01-19,EMP079,IT Hardware,1807.89,BestBuy,IT Hardware expense at BestBuy
2025-04-13,EMP144,Travel,79.84,Amtrak,Travel expense at Amtrak
2025-07-22,EMP094,Meals,215.9,Dominos,Meals expense at Dominos
2025-07-18,EMP012,Meals,17.18,Ruths Chris,Meals expense at Ruths Chris
2025-03-11,EMP079,IT Hardware,1351.38,CDW,IT Hardware expense at CDW
2025-03-19,EMP070,IT Hardware,382.69,Apple Store,IT Hardware expense at Apple Store
2025-05-26,EMP143,Software,2056.75,Zoom,Software expense at Zoom
2025-08-15,EMP042,Office,484.32,Staples,Office expense at Staples
2025-03-17,EMP015,Travel,186.13,Delta Air,Travel expense at Delta Air
2025-06-11,EMP010,Software,696.07,AWS,Software expense at AWS
2025-05-23,EMP130,Software,1574.71,AWS,Software expense at AWS
2025-02-19,EMP059,Meals,173.84,Starbucks,Meals expense at Starbucks
2025-01-30,EMP079,Travel,393.15,United,Travel expense at United
2025-03-29,EMP026,Lodging,2987.94,Marriott,Lodging expense at Marriott
2025-10-15,EMP005,Meals,286.6,Ruths Chris,Meals expense at Ruths Chris
2025-11-24,EMP144,Office,72.0,Uline,Office expense at Uline
2025-10-10,EMP053,Meals,21.26,Starbucks,Meals expense at Starbucks
2024-12-21,EMP017,Meals,141.29,Ruths Chris,Meals expense at Ruths Chris
2024-12-02,EMP006,Travel,863.95,Amtrak,Travel expense at Amtrak
2025-06-03,EMP123,Office,814.93,Amazon Biz,Office expense at Amazon Biz
2025-08-14,EMP128,Travel,1081.48,Amtrak,Travel expense at Amtrak
2025-04-24,EMP141,Lodging,1465.09,Hilton,Lodging expense at Hilton
2025-10-27,EMP043,Software,2894.98,Zoom,Software expense at Zoom
2025-08-22,EMP143,Office,208.06,Staples,Office expense at Staples
2025-10-02,EMP142,Travel,238.02,Uber,Travel expense at Uber
2025-07-14,EMP148,Travel,84.78,Amtrak,Travel expense at Amtrak
2025-10-31,EMP085,IT Hardware,3717.57,CDW,IT Hardware expense at CDW
2025-11-03,EMP122,Meals,82.14,Starbucks,Meals expense at Starbucks
2024-12-10,EMP140,Travel,1223.13,Uber,Travel expense at Uber
2024-12-27,EMP079,Meals,239.37,Panera,Meals expense at Panera
2025-04-07,EMP063,Software,3721.81,Slack,Software expense at Slack
2025-10-18,EMP035,IT Hardware,3691.45,BestBuy,IT Hardware expense at BestBuy
2025-10-11,EMP015,Software,2111.6,AWS,Software expense at AWS
2025-02-01,EMP105,Software,3919.46,Zoom,Software expense at Zoom
2025-10-10,EMP009,Meals,267.59,Ruths Chris,Meals expense at Ruths Chris
2025-07-14,EMP007,Office,66.11,Office Depot,Office expense at Office Depot
2025-06-06,EMP115,Travel,284.78,United,Travel expense at United
2025-11-29,EMP125,Office,246.62,Staples,Office expense at Staples
2025-10-30,EMP028,Meals,33.72,Local Diner,Meals expense at Local Diner
2025-03-01,EMP145,Travel,160.0,United,Travel expense at United
2025-10-17,EMP083,Travel,886.34,Delta Air,Travel expense at Delta Air
2025-04-08,EMP122,Meals,185.09,Local Diner,Meals expense at Local Diner
2025-06-13,EMP041,Lodging,1357.93,Airbnb,Lodging expense at Airbnb
2025-09-24,EMP040,Meals,108.67,Local Diner,Meals expense at Local Diner
2025-07-02,EMP046,Office,855.09,Uline,Office expense at Uline
2025-05-28,EMP060,Meals,134.62,Ruths Chris,Meals expense at Ruths Chris
2025-04-22,EMP115,Software,1173.1,Atlassian,Software expense at Atlassian
2025-05-22,EMP028,IT Hardware,2563.76,Dell,IT Hardware expense at Dell
2025-02-21,EMP048,IT Hardware,1080.91,Apple Store,IT Hardware expense at Apple Store
2025-07-09,EMP044,Software,880.14,AWS,Software expense at AWS
2025-02-17,EMP097,IT Hardware,3246.4,Dell,IT Hardware expense at Dell
2025-09-13,EMP102,Office,168.79,Uline,Office expense at Uline
2025-01-21,EMP061,Software,1406.72,AWS,Software expense at AWS
2025-06-17,EMP057,Lodging,1712.93,Airbnb,Lodging expense at Airbnb
2025-11-10,EMP068,Travel,862.93,Hertz,Travel expense at Hertz
2025-08-09,EMP055,Meals,329.02,Ruths Chris,Meals expense at Ruths Chris
2025-09-26,EMP096,IT Hardware,3355.12,CDW,IT Hardware expense at CDW
2025-05-22,EMP026,IT Hardware,1086.46,Newegg,IT Hardware expense at Newegg
2025-05-20,EMP053,Lodging,931.96,Holiday Inn,Lodging expense at Holiday Inn
2025-09-30,EMP094,Office,246.11,Staples,Office expense at Staples
2025-01-20,EMP050,Software,244.16,AWS,Software expense at AWS
2025-09-05,EMP097,Lodging,1887.59,Marriott,Lodging expense at Marriott
2025-06-22,EMP111,Travel,447.37,Hertz,Travel expense at Hertz
2025-02-26,EMP106,Meals,124.96,Chipotle,Meals expense at Chipotle
2025-07-22,EMP073,Meals,122.02,Local Diner,Meals expense at Local Diner
2025-10-11,EMP068,Meals,19.71,Dominos,Meals expense at Dominos
2025-08-23,EMP121,Meals,136.9,Chipotle,Meals expense at Chipotle
2025-02-18,EMP105,IT Hardware,420.78,CDW,IT Hardware expense at CDW
2025-02-26,EMP140,Meals,236.78,Dominos,Meals expense at Dominos
2025-05-01,EMP135,Travel,189.27,Delta Air,Travel expense at Delta Air
2025-01-27,EMP095,IT Hardware,713.76,Newegg,IT Hardware expense at Newegg
2025-08-19,EMP028,IT Hardware,857.6,Dell,IT Hardware expense at Dell
2025-03-14,EMP087,Travel,851.6,Lyft,Travel expense at Lyft
2025-09-03,EMP064,Office,572.92,Uline,Office expense at Uline
2025-06-03,EMP081,Meals,370.79,Local Diner,Meals expense at Local Diner
2025-08-01,EMP144,Meals,164.54,Chipotle,Meals expense at Chipotle
2025-01-28,EMP121,Office,947.55,Amazon Biz,Office expense at Amazon Biz
2025-09-05,EMP028,Software,2015.57,Atlassian,Software expense at Atlassian
2025-08-23,EMP093,Software,3720.37,Zoom,Software expense at Zoom
2025-07-08,EMP124,IT Hardware,1704.17,CDW,IT Hardware expense at CDW
2025-08-17,EMP009,Office,23.45,Uline,Office expense at Uline
2025-04-14,EMP131,Office,605.87,Staples,Office expense at Staples
2025-08-13,EMP127,Lodging,994.05,Marriott,Lodging expense at Marriott
2025-07-07,EMP026,Travel,421.82,Hertz,Travel expense at Hertz
2024-12-09,EMP004,Meals,172.12,Chipotle,Meals expense at Chipotle
2025-01-23,EMP130,Office,260.3,Amazon Biz,Office expense at Amazon Biz
2025-09-07,EMP028,Lodging,2609.43,Hilton,Lodging expense at Hilton
2025-10-05,EMP101,Office,340.81,Staples,Office expense at Staples
2025-03-14,EMP020,IT Hardware,3638.59,BestBuy,IT Hardware expense at BestBuy
2025-07-09,EMP085,Office,143.88,Uline,Office expense at Uline
2025-11-11,EMP077,Lodging,1617.04,Hyatt,Lodging expense at Hyatt
2025-03-03,EMP140,Office,877.23,Amazon Biz,Office expense at Amazon Biz
2025-04-18,EMP106,Meals,292.86,Local Diner,Meals expense at Local Diner
2025-05-03,EMP037,Lodging,822.03,Holiday Inn,Lodging expense at Holiday Inn
2025-10-31,EMP067,Office,775.08,Uline,Office expense at Uline
2025-03-19,EMP057,Meals,121.93,Ruths Chris,Meals expense at Ruths Chris
2025-09-24,EMP019,Travel,534.14,Amtrak,Travel expense at Amtrak
2025-02-27,EMP030,IT Hardware,749.47,Dell,IT Hardware expense at Dell
2025-06-02,EMP002,Software,2095.66,Slack,Software expense at Slack
2025-07-22,EMP092,Meals,122.99,Local Diner,Meals expense at Local Diner
2025-07-25,EMP062,Lodging,1813.68,Marriott,Lodging expense at Marriott
2025-11-05,EMP035,Software,1450.86,Slack,Software expense at Slack
2025-04-14,EMP047,Software,644.97,Atlassian,Software expense at Atlassian
2025-05-05,EMP028,IT Hardware,2294.98,Apple Store,IT Hardware expense at Apple Store
2025-02-06,EMP113,IT Hardware,3316.45,BestBuy,IT Hardware expense at BestBuy
2025-09-17,EMP101,Lodging,687.45,Holiday Inn,Lodging expense at Holiday Inn
2025-04-25,EMP024,Office,751.95,Staples,Office expense at Staples
2024-12-23,EMP002,Office,571.86,Uline,Office expense at Uline
2025-07-25,EMP003,Travel,781.26,United,Travel expense at United
2025-03-09,EMP094,Software,3661.3,Zoom,Software expense at Zoom
2025-04-29,EMP092,Lodging,541.78,Airbnb,Lodging expense at Airbnb
